SMILES,predictions
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OCC=Cc2cnc3ccccc3c2)C[C@@H](C)C(=O)[C@H](CO)[C@H]2NC(=O)O[C@]12C,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OCC=Cc2cnc3ccccc3c2)C[C@@H](C)C(=O)[C@H](CO[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2NC(=O)O[C@]12C CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OCC=Cc2cnc3ccccc3c2)C[C@@H](C)C(=O)[C@H](CO)[C@H]2NC(=O)O[C@]12CO CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OCC=Cc2cnc3ccccc3c2)C[C@@H](C)C(=O)[C@H](C(=O)O)[C@H]2NC(=O)O[C@]12C CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OCC=Cc2cnc3ccccc3c2)C[C@@H](C)C(=O)[C@H](CO)[C@H]2NC(=O)O[C@]12C CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](NC)[C@H]2O)[C@](C)(OCC=Cc2cnc3ccccc3c2)C[C@@H](C)C(=O)[C@H](CO)[C@H]2NC(=O)O[C@]12C
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,C[C@H]1COc2c(N)c(F)cc3c(=O)c(C(=O)O)cn1c23 C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O[C@@H]4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)cn1c23 C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)NCC(=O)O)cn1c23 C[C@H]1COc2c(N3CC[N+](C)([O-])CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23 C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)ccn1c23 C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(CO)cn1c23
C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O,C[C@]12C=CC(=O)C(Cl)=C1[C@H](O)C[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1[C@@H](O)C[C@]2(C)O C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1C[C@@H](O)[C@]2(C)O CC1CCC2C3CCC4=C(Cl)C(=O)C=C[C@]4(C)C3CC[C@]12C
Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(OC4OC(C(=O)O)C(O)C(O)C4O)cc3)cc2)cc1 Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)c(O)c3)cc2)cc1 Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3O)cc2)cc1 Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)c(O)c1 Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1O O=C(/C=C/c1ccc(O)cc1)c1ccc(NS(=O)(=O)c2ccc(CO)cc2)cc1
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,COc1ccc(CC(C)N(O)CC(O)c2ccc(O)c(NC=O)c2)cc1 CC(Cc1ccc(O)cc1)NCC(O)c1ccc(O)c(NC=O)c1 COc1ccc(CC(C)NCC(OC2OC(C(=O)O)C(O)C(O)C2O)c2ccc(O)c(NC=O)c2)cc1 COc1ccc(CC(C)NCC(O)c2ccc(O)c(N)c2)cc1 COc1ccc(CC(C)NCC(O)c2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)c(NC=O)c2)cc1 COc1ccc(CC(C)NCC(O)c2cc(O)c(O)c(NC=O)c2)cc1
Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4=O)C3)CC2)n(-c2ccccc2)n1 Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)O)C3)CC2)n(-c2ccccc2)n1 Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCS(=O)C4)C3)CC2)n(-c2ccccc2)n1 O=C([C@@H]1C[C@@H](N2CCNCC2)CN1)N1CCSC1 Cc1nn(-c2ccccc2)c(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)c1O Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccc(O)cc2)n1
C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CC[C@@H]2O,C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CC[C@@H]2O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O C[C@]12CC[C@@H]3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)c(O)c4CC[C@H]3[C@@H]1CC[C@@H]2O C[C@]12CC[C@@H]3c4cc(O)c(O)c(O)c4CC[C@H]3[C@@H]1CC[C@@H]2O C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CCC2=O C[C@]12CC[C@@H]3c4ccc(O)c(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)c4CC[C@H]3[C@@H]1CC[C@@H]2O C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O
CCCCc1nc(Cl)c(C=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CCCCc1nc(Cl)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1 CC(O)CCc1nc(Cl)c(C=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1 CCCCc1nc(Cl)c(C=O)n1Cc1ccc(-c2ccccc2-c2nnn([C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)n2)cc1 CCCCc1nc(Cl)c(C=O)n1Cc1ccc(-c2ccccc2-c2nn[n+](C3OC(C(=O)O)C(O)C(O)C3O)[nH]2)cc1 CCCCc1nc(Cl)c(C=O)n1Cc1ccc(-c2ccccc2-c2nnnn2C2OC(C(=O)O)C(O)C(O)C2O)cc1
CCC1(c2ccc(O)cc2)C(=O)NC(=O)NC1=O,O=C1NC(=O)C(CCO)(c2ccc(O)cc2)C(=O)N1 CCC1(c2cc(O)c(O)c(O)c2)C(=O)NC(=O)NC1=O CC(O)C1(c2ccc(O)cc2)C(=O)NC(=O)NC1=O CCC1(c2ccc(O)cc2)C(=O)NC(=O)N(O)C1=O CCC1(c2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cc2)C(=O)NC(=O)NC1=O CCC1(c2ccc(O)c(O)c2)C(=O)NC(=O)NC1=O
Nc1ccc([C@@H](O)[C@H](N)CO)cc1,Nc1ccc([C@@H](O)[C@H](N)C(=O)O)cc1 CC(=O)Nc1ccc([C@@H](O)[C@H](N)CO)cc1 Nc1ccc([C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](N)CO)cc1 CC(=O)N[C@H](CO)[C@H](O)c1ccc(N)cc1 Nc1ccc([C@@H](O)[C@H](N)COP(=O)(O)O)cc1 CC(=O)Nc1ccc([C@@H](O)[C@@H](N)CO)cc1
NC(=O)c1nc(F)cnc1O,NC(=O)c1nc(F)cnc1O NC(=O)c1nc(F)c(O)nc1O NC(=O)c1nc(F)cnc1OC1OC(C(=O)O)C(O)C(O)C1O NC(=O)c1nc(F)c[nH]c1=O NC(=O)c1nc(F)c[n+]([O-])c1O O=CNC(=O)c1nc(F)cnc1O
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)C(O)C1 Cc1cc2c(s1)Nc1cc(O)ccc1N=C2N1CCN(C)CC1 Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N+](C)([O-])CC1 Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(CO)CC1 CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1 Cc1cc2c(s1)Nc1ccc(O)cc1N=C2N1CCN(C)CC1
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,CCCCNc1ccc(C(=O)O)cc1 CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCO)cc1 COCCOCCOCCOCCOCCOCCOCCOCCOC(=O)c1ccc(N)cc1 CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCO)cc1 CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCO)cc1 CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCO)cc1
CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CCCS(=O)c1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1 CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCC(=O)O)[C@@H](O)[C@H]3O)c2n1 CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO[C@@H]4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H]3O)c2n1 CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](O)[C@@H](O)[C@H]3O)c2n1 CC(O)CSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1 CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCC=O)[C@@H](O)[C@H]3O)c2n1
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,COc1cc(Cc2cnc(N)nc2N)cc(O)c1OC COc1cc(Cc2cnc(N)nc2N)c(O)c(OC)c1OC COc1cc(C(O)c2cnc(N)nc2N)cc(OC)c1OC COc1cc(Cc2cnc(N)[n+]([O-])c2N)cc(OC)c1OC COc1cc(Cc2cnc(NC3OC(C(=O)O)C(O)C(O)C3O)nc2N)cc(OC)c1OC COc1cc(Cc2c[n+]([O-])c(N)nc2N)cc(OC)c1OC
O=C(CO)N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1,N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1 O=C(CO)N[C@H](CO)[C@H](O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1ccc([N+](=O)[O-])cc1 Nc1ccc([C@@H](O)[C@@H](CO)NC(=O)CO)cc1 O=C(COP(=O)(O)O)N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1 O=C(CO)N[C@H](COP(=O)(O)O)[C@H](O)c1ccc([N+](=O)[O-])cc1 O=C(O)C(=O)N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1
N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1,Nc1ccc([C@@H](O)[C@H](N)CO)cc1 N[C@H](CO)[C@H](O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)c1ccc([N+](=O)[O-])cc1 CC(=O)N[C@@H](COP(=O)(O)O)[C@H](O)c1ccc([N+](=O)[O-])cc1 N[C@H](COP(=O)(O)O)[C@H](O)c1ccc([N+](=O)[O-])cc1 O=[N+]([O-])c1ccc([C@@H](O)[C@@H](CO)NO)cc1 O=[N+]([O-])c1ccc([C@@H](O)CO)cc1
CN(C)CCCN1c2ccccc2CCc2ccccc21,CN(C)CCCN1c2ccccc2CCc2ccc(O)cc21 CNCCCN1c2ccccc2CCc2ccccc21 CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21 O=C(O)CCN1c2ccccc2CCc2ccccc21 CN(C)CCCN1c2ccccc2CC(O)c2ccccc21
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,CNCC[C@@H](Oc1ccccc1CO)c1ccccc1 Cc1ccccc1O[C@H](CCN)c1ccccc1 CNCC[C@@H](Oc1ccccc1C)c1ccc(O)cc1 CNCC[C@@H](Oc1cccc(O)c1C)c1ccccc1 CNCC[C@@H](Oc1ccc(O)cc1C)c1ccccc1 CNCC[C@@](O)(Oc1ccccc1C)c1ccccc1
CN1C(C(O)=Nc2ncc(CO)s2)=C(O)c2ccccc2S1(=O)=O,CN1C(C(O)=Nc2ncc(C(=O)O)s2)=C(O)c2ccccc2S1(=O)=O CN1C(C(=O)Nc2ncc(CO)s2)=C(O)c2ccccc2S1(=O)=O CN1C(C(O)=Nc2ncc(C=O)s2)=C(O)c2ccccc2S1(=O)=O CN1C(C(O)=Nc2ncc(COC3OC(C(=O)O)C(O)C(O)C3O)s2)=C(O)c2ccccc2S1(=O)=O CN1C(C(O)=Nc2ncc(CO)s2)=C(OC2OC(C(=O)O)C(O)C(O)C2O)c2ccccc2S1(=O)=O CN1C(C(O)=Nc2nc(O)c(CO)s2)=C(O)c2ccccc2S1(=O)=O
CC(C)(N)Cc1ccccc1,CC(C)(N)Cc1cccc(O)c1 CC(C)(O)Cc1ccccc1 CC(C)(N)C(O)c1ccccc1 CC(C)(Cc1ccccc1)NO CC(C)(N)Cc1ccc(O)cc1 CC(N)(CO)Cc1ccccc1
Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1cnc2c1c(=O)[nH]c(=O)n2C Cn1c(=O)[nH]c2ncn(C)c2c1=O Cn1c(=O)c2c(ncn2CO)n(C)c1=O Cn1c(=O)c2c(nc(O)n2C)n(C)c1=O Cn1c(=O)c2[nH]cnc2n(C)c1=O
CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12,CCOC(=O)c1c(CS(=O)c2ccc(O)cc2)n(C)c2cc(Br)c(O)c(CNC)c12 CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12 CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CNC)c12 CNCc1c(O)c(Br)cc2c1c(C(=O)O)c(CS(=O)(=O)c1ccccc1)n2C CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN)c12 CNCc1c(O)c(Br)cc2c1c(C(=O)O)c(CS(=O)c1ccccc1)n2C
CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CN(C)Cc1c(O)c(Br)cc2c1c(C(=O)O)c(CS(=O)c1ccccc1)n2C CN(C)Cc1c(O)c(Br)cc2c1c(C(=O)O)c(CS(=O)(=O)c1ccccc1)n2C CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12 CCOC(=O)c1c(CSc2ccccc2)[nH]c2cc(Br)c(O)c(CN(C)C)c12 CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12 CCOC(=O)c1c(CS(=O)c2ccc(O)cc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12
CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)C21,O=C1c2ccccc2N(CO)C2c3[nH]c4ccccc4c3CCN12 CN1c2ccccc2C(=O)N2CCc3c([nH]c4cc(O)ccc34)C21 CN1c2ccccc2C(=O)N2CC(O)c3c([nH]c4ccccc34)C21 O=C1c2ccccc2NC2c3[nH]c4ccccc4c3CCN12 CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccc(O)cc34)C21 O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12
Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CCC2C)c1,Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CCC2(C)O)c1 Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)C(O)CC2C)c1 CC1CCN(c2nc3cc(Cl)ccc3o2)CCN1C(=O)c1cc(CO)ccc1-n1nccn1 Cc1ccc(-n2ncc(O)n2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CCC2C)c1 Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CC(O)C2C)c1 Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)c(O)cc4o3)CCC2C)c1
N=C(N)NC(=O)Cc1c(Cl)ccc(O)c1Cl,NC(=O)Cc1c(Cl)ccc(O)c1Cl N/C(=N/O)NC(=O)Cc1c(Cl)ccc(O)c1Cl N=C(N)NC(=O)Cc1c(Cl)ccc(O)c1OC1OC(C(=O)O)C(O)C(O)C1O N=C(N)NC(=O)Cc1c(Cl)cc(O)c(O)c1Cl N=C(N)NC(=O)Cc1cc(O)ccc1Cl N=C(N)NC(=O)Cc1c(Cl)ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c1Cl
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](NC)[C@H]2O)[C@](C)(OCC=Cc2cnc3ccccc3c2)C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](NC)[C@H]2O)[C@](C)(OCC=Cc2cnc3ccccc3c2)C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N)[C@H]2O)[C@](C)(OCC=Cc2cnc3ccccc3c2)C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(OCC=Cc2cnc3ccccc3c2)C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](NC)[C@H]2O)[C@](C)(OCC=Cc2cnc3ccccc3c2)C[C@@H](C)C(=O)[C@H](CO)[C@H]2NC(=O)O[C@]12C
O=C1N[C@@H](Cc2ccc3[nH]cc(CCO)c3c2)CO1,O=C1N[C@@H](Cc2ccc3[nH]c(O)c(CCO)c3c2)CO1 O=C1N[C@@H](Cc2ccc3[nH]cc(CCOC4OC(C(=O)O)C(O)C(O)C4O)c3c2)CO1 O=C(O)Cc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12 O=C1OC[C@@H]2Cc3ccc4[nH]cc(c4c3)CCN12 O=C1OC[C@H](Cc2ccc3[nH]cc(CCO)c3c2)N1O O=CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12
CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2O)cc1 CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCC(O)C2)cc1 CC(C)(O)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1 CC(C)C(=O)NCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1 CC(CO)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1 NCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1
CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](S(C)=O)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1 CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2O)N(C)C1 CCC[C@H]1CN[C@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)C1 CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)N(C)C1 CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)N(C)C1 CCC[C@@H]1C[C@@H](C(=O)O)N(C)C1
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,CCC1(c2ccc(O)cc2)C(=O)NC(=O)NC1=O CCC1(c2ccccc2)C(=O)NC(=O)N(O)C1=O O=C1NC(=O)C(CCO)(c2ccccc2)C(=O)N1 CCC1(c2ccccc2)C(=O)NC(=O)NC1O CC(O)C1(c2ccccc2)C(=O)NC(=O)NC1=O
CC1(C=O)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CC1(C=O)S[C@@H]2[C@H](NC(=O)Cc3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O CC1(CO)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O CC1(C(=O)O)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O CC1(C=O)S[C@@H]2[C@H](NC(=O)[C@@H](N=C(O)CC[C@H](N)C(=O)O)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O CC1(C=O)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(OS(=O)(=O)O)cc3)C(=O)N2[C@H]1C(=O)O CC1S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O
CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1,CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)c(O)c2)C1 CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1O CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1 CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]c(O)cc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1 CC1(CO)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2)C1 CC1(C)CCC(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(NCC5CCOCC5)c([N+](=O)[O-])c4)c(Oc4cnc5[nH]ccc5c4)c3)CC2)=C(c2ccc(Cl)cc2O)C1
N#Cc1ccc(C(O)c2ccc(C#N)cc2)cc1,N#Cc1ccc(C(=O)c2ccc(C#N)cc2)cc1 N#Cc1ccc(C(O)c2ccc(C(=N)N)cc2)cc1 N#Cc1ccc(C(OC2OC(C(=O)O)C(O)C(O)C2O)c2ccc(C#N)cc2)cc1 N#Cc1ccc(C(O)c2ccc(C#N)c(O)c2)cc1 N#Cc1ccc(Cc2ccc(C#N)cc2)cc1
N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1OP(=O)(O)O N#C[C@]1(c2ccc3c(N)ncnn23)C[C@H](O)[C@@H](COP(=O)(O)O)O1 N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(O)O)[C@@H](O)C1=O
Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2O)c1 OCc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1 Cc1cc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)ccc1O Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)c(O)c3)CC2)c1 Cc1cccc(CN2CCN(C(c3ccc(O)cc3)c3ccc(Cl)cc3)CC2)c1 Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1O
